algorithm,n,threads,q,t_parallel_ms,t_sequential_ms,speedup,jvm,os,hostname,timestamp
sequential,510,1,,177.724292,177.724292,1.000000,21.0.3 Eclipse Adoptium,Mac OS X 15.7.3,Oleksandrs-Laptop.local,2026-03-29T16:47:21.558119Z
striped,510,4,,61.610525,176.088146,2.858085,21.0.3 Eclipse Adoptium,Mac OS X 15.7.3,Oleksandrs-Laptop.local,2026-03-29T16:47:21.558119Z
striped,510,9,,41.343625,158.335369,3.829741,21.0.3 Eclipse Adoptium,Mac OS X 15.7.3,Oleksandrs-Laptop.local,2026-03-29T16:47:21.558119Z
striped,510,25,,35.099944,160.183825,4.563649,21.0.3 Eclipse Adoptium,Mac OS X 15.7.3,Oleksandrs-Laptop.local,2026-03-29T16:47:21.558119Z
fox,510,4,2,54.962279,157.432529,2.864374,21.0.3 Eclipse Adoptium,Mac OS X 15.7.3,Oleksandrs-Laptop.local,2026-03-29T16:47:21.558119Z
fox,510,9,3,30.141346,157.394771,5.221889,21.0.3 Eclipse Adoptium,Mac OS X 15.7.3,Oleksandrs-Laptop.local,2026-03-29T16:47:21.558119Z
fox,510,25,5,20.985646,158.794281,7.566805,21.0.3 Eclipse Adoptium,Mac OS X 15.7.3,Oleksandrs-Laptop.local,2026-03-29T16:47:21.558119Z
sequential,540,1,,135.024615,135.024615,1.000000,21.0.3 Eclipse Adoptium,Mac OS X 15.7.3,Oleksandrs-Laptop.local,2026-03-29T16:47:21.558119Z
striped,540,4,,35.975708,138.714171,3.855773,21.0.3 Eclipse Adoptium,Mac OS X 15.7.3,Oleksandrs-Laptop.local,2026-03-29T16:47:21.558119Z
striped,540,9,,31.013042,135.225813,4.360289,21.0.3 Eclipse Adoptium,Mac OS X 15.7.3,Oleksandrs-Laptop.local,2026-03-29T16:47:21.558119Z
striped,540,25,,25.343354,135.399617,5.342608,21.0.3 Eclipse Adoptium,Mac OS X 15.7.3,Oleksandrs-Laptop.local,2026-03-29T16:47:21.558119Z
fox,540,4,2,35.499385,135.381019,3.813616,21.0.3 Eclipse Adoptium,Mac OS X 15.7.3,Oleksandrs-Laptop.local,2026-03-29T16:47:21.558119Z
fox,540,9,3,29.753869,136.033902,4.571974,21.0.3 Eclipse Adoptium,Mac OS X 15.7.3,Oleksandrs-Laptop.local,2026-03-29T16:47:21.558119Z
fox,540,25,5,20.944492,135.860617,6.486699,21.0.3 Eclipse Adoptium,Mac OS X 15.7.3,Oleksandrs-Laptop.local,2026-03-29T16:47:21.558119Z
sequential,570,1,,160.171717,160.171717,1.000000,21.0.3 Eclipse Adoptium,Mac OS X 15.7.3,Oleksandrs-Laptop.local,2026-03-29T16:47:21.558119Z
striped,570,4,,42.565619,160.114848,3.761600,21.0.3 Eclipse Adoptium,Mac OS X 15.7.3,Oleksandrs-Laptop.local,2026-03-29T16:47:21.558119Z
