variant,nra,nca,ncb,procs,seconds
blocking,100,100,100,2,0.000932000
blocking,150,150,150,2,0.003328000
blocking,200,200,200,2,0.007178000
blocking,250,250,250,2,0.014804000
blocking,300,300,300,2,0.026226000
blocking,350,350,350,2,0.043256000
blocking,400,400,400,2,0.067541000
blocking,450,450,450,2,0.097507000
blocking,500,500,500,2,0.136067000
blocking,550,550,550,2,0.183991000
blocking,600,600,600,2,0.243070000
blocking,650,650,650,2,0.314469000
blocking,700,700,700,2,0.395458000
blocking,750,750,750,2,0.489131000
blocking,800,800,800,2,0.603287000
blocking,850,850,850,2,0.721651000
blocking,900,900,900,2,0.858152000
blocking,950,950,950,2,1.015758000
blocking,1000,1000,1000,2,1.189308000
blocking,100,100,100,3,0.001823000
blocking,150,150,150,3,0.003115000
blocking,200,200,200,3,0.004816000
blocking,250,250,250,3,0.008429000
blocking,300,300,300,3,0.014855000
blocking,350,350,350,3,0.024338000
blocking,400,400,400,3,0.035551000
blocking,450,450,450,3,0.051812000
blocking,500,500,500,3,0.071686000
blocking,550,550,550,3,0.096347000
blocking,600,600,600,3,0.126766000
blocking,650,650,650,3,0.163840000
blocking,700,700,700,3,0.204884000
blocking,750,750,750,3,0.252928000
blocking,800,800,800,3,0.310584000
blocking,850,850,850,3,0.372322000
blocking,900,900,900,3,0.441629000
blocking,950,950,950,3,0.521978000
blocking,1000,1000,1000,3,0.611204000
blocking,100,100,100,4,0.001039000
blocking,150,150,150,4,0.002530000
blocking,200,200,200,4,0.004338000
blocking,250,250,250,4,0.007841000
blocking,300,300,300,4,0.011192000
blocking,350,350,350,4,0.016718000
blocking,400,400,400,4,0.024549000
blocking,450,450,450,4,0.036653000
blocking,500,500,500,4,0.049276000
blocking,550,550,550,4,0.065185000
blocking,600,600,600,4,0.086396000
blocking,650,650,650,4,0.109069000
blocking,700,700,700,4,0.137286000
blocking,750,750,750,4,0.169607000
blocking,800,800,800,4,0.209541000
blocking,850,850,850,4,0.249860000
blocking,900,900,900,4,0.296610000
blocking,950,950,950,4,0.349595000
blocking,1000,1000,1000,4,0.408419000
blocking,100,100,100,5,0.002749000
blocking,150,150,150,5,0.002163000
blocking,200,200,200,5,0.004505000
blocking,250,250,250,5,0.006636000
blocking,300,300,300,5,0.008891000
blocking,350,350,350,5,0.014352000
blocking,400,400,400,5,0.020485000
blocking,450,450,450,5,0.027738000
blocking,500,500,500,5,0.038792000
blocking,550,550,550,5,0.049390000
blocking,600,600,600,5,0.064608000
blocking,650,650,650,5,0.083052000
blocking,700,700,700,5,0.104299000
blocking,750,750,750,5,0.128894000
blocking,800,800,800,5,0.157756000
blocking,850,850,850,5,0.188409000
blocking,900,900,900,5,0.224500000
blocking,950,950,950,5,0.264991000
blocking,1000,1000,1000,5,0.309813000
blocking,100,100,100,6,0.000382000
blocking,150,150,150,6,0.003172000
blocking,200,200,200,6,0.004693000
blocking,250,250,250,6,0.005357000
blocking,300,300,300,6,0.008960000
blocking,350,350,350,6,0.012259000
blocking,400,400,400,6,0.016380000
blocking,450,450,450,6,0.023621000
blocking,500,500,500,6,0.031736000
blocking,550,550,550,6,0.041440000
blocking,600,600,600,6,0.053834000
blocking,650,650,650,6,0.070204000
blocking,700,700,700,6,0.085695000
blocking,750,750,750,6,0.105374000
blocking,800,800,800,6,0.129460000
blocking,850,850,850,6,0.153280000
blocking,900,900,900,6,0.182701000
blocking,950,950,950,6,0.214545000
blocking,1000,1000,1000,6,0.250086000
blocking,100,100,100,7,0.001941000
blocking,150,150,150,7,0.001539000
blocking,200,200,200,7,0.005263000
blocking,250,250,250,7,0.005218000
blocking,300,300,300,7,0.009384000
blocking,350,350,350,7,0.012700000
blocking,400,400,400,7,0.017840000
blocking,450,450,450,7,0.023620000
blocking,500,500,500,7,0.030824000
blocking,550,550,550,7,0.040541000
blocking,600,600,600,7,0.049979000
blocking,650,650,650,7,0.064190000
blocking,700,700,700,7,0.077598000
blocking,750,750,750,7,0.096199000
blocking,800,800,800,7,0.116261000
blocking,850,850,850,7,0.137464000
blocking,900,900,900,7,0.163525000
blocking,950,950,950,7,0.193004000
blocking,1000,1000,1000,7,0.222571000
blocking,100,100,100,8,0.000783000
blocking,150,150,150,8,0.002712000
blocking,200,200,200,8,0.005242000
blocking,250,250,250,8,0.006693000
blocking,300,300,300,8,0.009849000
blocking,350,350,350,8,0.012571000
blocking,400,400,400,8,0.018162000
blocking,450,450,450,8,0.023594000
blocking,500,500,500,8,0.028356000
blocking,550,550,550,8,0.037181000
blocking,600,600,600,8,0.046264000
blocking,650,650,650,8,0.057873000
